,x
1507,1615904
1508,1616079
1509,1616118
1510,1616168
1511,1616233
1512,1616234
1513,1616361
1514,1616571
1515,1616595
1516,1616607
1517,1616656
1518,1616712
1519,1616744
1520,1616746
1521,1616872
1522,1616983
1523,1617077
1524,1617085
1525,1617125
1526,1617151
1527,1617171
1528,1617375
1529,1617960
1530,1618100
1531,1618205
1532,1618704
1533,1618790
1534,1618811
1535,1618931
1536,1618957
1537,1619031
1538,1619264
1539,1619356
1540,1619498
1541,1619653
1542,1619671
1543,1619689
1544,1619740
1545,1619901
1546,1619964
1547,1620004
1548,1620127
1549,1620166
1550,1620205
1551,1620349
1552,1620380
1553,1620399
1554,1620670
1555,1620789
1556,1620969
1557,1621195
1558,1621357
1559,1621359
1560,1621413
1561,1621486
1562,1621594
1563,1621664
1564,1621706
1565,1621725
1566,1621772
1567,1621915
1568,1622085
1569,1622203
1570,1622473
1571,1622544
1572,1622597
1573,1622659
1574,1622662
1575,1622672
1576,1622693
1577,1622754
1578,1622924
1579,1622951
1580,1623098
1581,1623194
1582,1623324
1583,1623345
1584,1623353
1585,1623443
1586,1623465
1587,1623466
1588,1623467
1589,1623651
1590,1623712
1591,1623752
1592,1623825
1593,1623885
1594,1623923
1595,1624034
1596,1624224
1597,1624383
1598,1624385
1599,1624474
1600,1624589
1601,1624700
1602,1624707
1603,1625021
1604,1625200
1605,1625208
1606,1625565
1607,1625662
1608,1625666
1609,1625672
1610,1625876
1611,1625923
1612,1625972
1613,1626259
1614,1626308
1615,1626451
1616,1626462
1617,1626483
1618,1626501
1619,1626602
1620,1626667
1621,1626675
1622,1626723
1623,1626778
1624,1626782
1625,1626898
1626,1627055
1627,1627121
1628,1627191
1629,1627277
1630,1627359
1631,1627437
1632,1627462
1633,1627528
1634,1627602
1635,1627646
1636,1627868
1637,1628053
1638,1628118
1639,1628198
1640,1628263
1641,1628334
1642,1628356
1643,1628426
1644,1628444
1645,1628545
1646,1628595
1647,1628630
1648,1628650
1649,1628821
1650,1628886
1651,1628928
1652,1628996
1653,1629026
1654,1629151
1655,1629264
1656,1629297
1657,1629331
1658,1629428
1659,1629505
1660,1629690
1661,1629893
1662,1629900
1663,1630144
1664,1630204
1665,1630368
1666,1630390
1667,1630396
1668,1630517
1669,1630526
1670,1630721
1671,1631056
1672,1631258
1673,1631301
1674,1631438
1675,1631459
1676,1631550
1677,1631666
1678,1631843
1679,1631912
1680,1631991
1681,1632023
1682,1632321
1683,1632538
1684,1632611
1685,1632723
1686,1632968
1687,1633018
1688,1633153
1689,1633192
1690,1633291
1691,1633402
1692,1633404
1693,1633609
1694,1633814
1695,1633857
1696,1633866
1697,1633868
1698,1634031
1699,1634143
1700,1634187
1701,1634257
1702,1634400
1703,1634493
1704,1634570
1705,1634603
1706,1634834
1707,1635282
1708,1635611
1709,1635830
1710,1635865
1711,1636024
1712,1636147
1713,1636366
1714,1636396
1715,1636397
1716,1636463
1717,1636546
1718,1636566
1719,1636568
1720,1636681
1721,1636793
1722,1636934
1723,1636970
1724,1637013
1725,1637049
1726,1637172
1727,1637208
1728,1637375
1729,1637447
1730,1637508
1731,1637806
1732,1637813
1733,1637897
1734,1638098
1735,1638156
1736,1638515
1737,1638642
1738,1638681
1739,1638790
1740,1638805
1741,1638818
1742,1638832
1743,1638865
1744,1638997
1745,1639018
